업체명	배출량	주소	시	군구	위도	경도
(유)셀가드코리아	134888	충청북도 청주시 청원구 오창읍 연구단지로 208	충청북도	청주시 청원구 오창읍	127.4365881	36.7182657
(유)피피지코리아	421	부산광역시 남구 신선로356번길 21	부산광역시	남구	129.0975615	35.1167928
(유)피피지코리아	306	충청남도 천안시 동남구 풍세면 용두4길 60	충청남도	천안시 동남구 풍세면	127.1171733	36.7454357
(주)EG메탈	0	울산광역시 남구 처용로 687	울산광역시	남구	129.3550919	35.4692579
(주)LG생명과학온산공장	1456	울산광역시 울주군 온산읍 화산리 580번지 이지로 19	울산광역시	울주군 온산읍	129.3295643	35.4309669
(주)LG생활건강	60	울산광역시 울주군 온양읍 덕망로 275 LG생활건강	울산광역시	울주군 온양읍	129.2930111	35.4519662
(주)LG화학	5275	전라남도 여수시 여수산단4로 58	전라남도	여수시	127.6857423	34.8334587
(주)LG화학나주공장	1750	전라남도 나주시 나주로 54	전라남도	나주시	126.718351	35.0258461
(주)LG화학대산공장	17654	충청남도 서산시 대산읍 독곶1로 54 LG화학 대산공장	충청남도	서산시 대산읍	126.3807672	37.0071004
(주)LG화학익산공장	0	전라북도 익산시 석암로 99	전라북도	익산시	127.0044739	35.9492737
(주)SFC	309	전라남도 여수시 여수산단1로 342-42	전라남도	여수시	127.6485828	34.8316202
(주)SIMPACMETALLOY제2공장	0	경상북도 포항시 남구 서원재로 22	경상북도	포항시 남구	129.3860742	35.9868801
(주)SNOGEN	318	충청남도 천안시 동남구 광덕면 세종로 4162 주)SNOGEN	충청남도	천안시 동남구 광덕면	127.1596455	36.6917065
(주)TSR	398	경상북도 구미시 수출대로7길 11	경상북도	구미시	128.3767222	36.1126169
(주)강남	99	부산광역시 사하구 구평로 16	부산광역시	사하구	128.9919924	35.0757044
(주)건화	12265	경상남도 거제시 연초면 연하해안로 841-54	경상남도	거제시 연초면	128.5960646	34.9407318
(주)건화이엔지	3	경상북도 경산시 진량읍 공단8로 91	경상북도	경산시 진량읍	128.8303832	35.8664521
(주)경기색소	0	부산광역시 사하구 을숙도대로 526	부산광역시	사하구	128.9629581	35.084722
(주)경농	14	대구광역시 달서구 달서대로58길 15	대구광역시	달서구	128.4944393	35.8257395
(주)경보제약	3074	충청남도 아산시 실옥로 174	충청남도	아산시	126.98213	36.7949961
(주)경인	6	인천광역시 부평구 경인로1024번길 33	인천광역시	부평구	126.7340725	37.4859335
(주)경인금속공업	0	인천광역시 서구 원전로59번길 23	인천광역시	서구	126.6444169	37.5518395
(주)경인양행	1538	인천광역시 서구 건지로 199	인천광역시	서구	126.6641026	37.4996885
(주)경인양행	13	경기도 시흥시 경제로 27	경기도	시흥시	126.7023546	37.3406743
(주)경인양행	1283	경기도 안산시 단원구 산단로 26	경기도	안산시 단원구	126.7850894	37.2978009
(주)경일금속	941	부산광역시 강서구 녹산산단261로31번길 9	부산광역시	강서구	128.8450183	35.0915535
(주)고려비엔피	32	충청남도 예산군 신암면 추사로 235-9 신암산업단지	충청남도	예산군 신암면	126.8228226	36.7461959
(주)고려시멘트	0	전라남도 장성군 장성읍 영천로 35	전라남도	장성군 장성읍	126.7790113	35.2921911
(주)광성금속	153	충청남도 천안시 동남구 성남면 용원4길 87-61 용원리	충청남도	천안시 동남구 성남면	127.2148693	36.7453679
(주)광성텍	2	충청북도 음성군 삼성면 금일로 701	충청북도	음성군 삼성면	127.5143154	37.0156391
(주)광원목재	3	경기 평택시 포승읍 평택항만길 425	경기도	평택시 포승읍	126.8314578	36.9821786
(주)광진피엠	0	광주광역시 북구 첨단벤처로 156	광주광역시	북구	126.8581	35.235868
(주)교우산업	198	경기도 시흥시 옥구천서로131번길 21	경기도	시흥시	126.7086481	37.3390741
(주)국인산업	10	경상북도 구미시 3공단3로 46-79	경상북도	구미시	128.4139321	36.0853002
(주)국제금속	214	경상북도 영천시 금호읍 오계공단길 1-61 오계리 34-3번지	경상북도	영천시 금호읍	128.8917495	35.9162256
(주)그린텍코리아	133912	경기도 화성시 장안면 3.1만세로322번길 33	경기도	화성시 장안면	126.8432847	37.0991392
(주)금비	0	충청남도 아산시 실옥로 156	충청남도	아산시	126.9837923	36.7940463
(주)금비	0	경기도 이천시 부발읍 중부대로1707번길 13	경기도	이천시 부발읍	127.4920962	37.2942117
(주)나노브릭	0	경기도 평택시 산단로52번길 68	경기도	평택시	127.0728019	37.0327935
(주)나라케이아이씨광양공장	0	전라남도 광양시 태인4길 10	전라남도	광양시	127.7591748	34.940153
(주)남선알미늄구미공장	7	경상북도 구미시 수출대로9길 80	경상북도	구미시	128.3802637	36.1194584
(주)남선알미늄자동차사업부문	5574	경상북도 구미시 1공단로 251	경상북도	구미시	128.3918375	36.1037737
(주)남주실업	26	광주광역시 광산구 하남산단3번로 14-61	광주광역시	광산구	126.803525	35.18891
(주)남청	0	부산광역시 사하구 다대로1066번길 39	부산광역시	사하구	128.9556601	35.079011
(주)남청3공장	0	부산광역시 사하구 다대로1066번길 42	부산광역시	사하구	128.9559901	35.0779021
(주)네오넌트	0	경상남도 양산시 산막공단남10길 31 호계동	경상남도	양산시	129.0668423	35.3643466
(주)넥센	2	경상남도 김해시 김해대로 2595	경상남도	김해시	128.910825	35.2294846
(주)넥센	15	경기도 시흥시 협력로 200	경기도	시흥시	126.711941	37.345199
(주)노루비케미칼	8	충청남도 천안시 서북구 백석공단1로 111	충청남도	천안시 서북구	127.105144	36.832091
(주)노루오토코팅	1752	경기도 화성시 장안면 장안공단7길 28	경기도	화성시 장안면	126.8405533	37.1146947
(주)노루케미칼	168	경기도 안산시 단원구 첨단로285번길 7	경기도	안산시 단원구	126.7524257	37.3048799
(주)노루코일코팅	0	경상북도 포항시 남구 장흥로39번길 54	경상북도	포항시 남구	129.3740652	35.9761071
(주)노루페인트	185	경기도 안양시 만안구 박달로 351	경기도	안양시 만안구	126.8929968	37.4051801
(주)노루페인트칠서공장	14	경상남도 함안군 칠서면 공단동길 129	경상남도	함안군 칠서면	128.485851	35.3721889
(주)뉴그린	153	경기도 평택시 포승읍 포승공단순환로 602	경기도	평택시 포승읍	126.8326584	36.9870674
(주)뉴인텍	2550	충청남도 아산시 음봉면 음봉면로 243	충청남도	아산시 음봉면	127.0261086	36.8642689
(주)뉴프렉스	17	경기도 안산시 단원구 만해로 181	경기도	안산시 단원구	126.758985	37.3244926
(주)다다	0	경기도 안산시 단원구 산단로 97	경기도	안산시 단원구	126.7870125	37.3047333
(주)단석산업	14	경기도 시흥시 협력로 165	경기도	시흥시	126.707404	37.3440991
(주)대경벤드	2	경상남도 양산시 어곡공단로 137	경상남도	양산시	129.0175633	35.3836114
(주)대경하이텍	0	경기 시흥시 소망공원로 188 정왕동 1265-2 2라 203호 103동	경기도	시흥시	126.7194769	37.3354326
(주)대동켐텍	1387	경기도 안성시 서운면 제3공단1길 68-18	경기도	안성시 서운면	127.2692555	36.9742253
(주)대림화학	567	경상남도 함안군 칠서면 공단동1길 71	경상남도	함안군 칠서면	128.4801313	35.3720639
(주)대성금속	0	세종특별자치시 부강면 부강외천로 48-48	세종특별자치시	부강면	127.3716112	36.5242865
(주)대성메탈	493	경상북도 경주시 강동면 천북산단로 191-8	경상북도	경주시 강동면	129.269051	35.9458772
(주)대양	0	대구광역시 서구 문화로 77	대구광역시	서구	128.5411962	35.8756198
(주)대양물산	3	경기도 양주시 광적면 화합로147번길 33	경기도	양주시 광적면	126.9537405	37.8584576
(주)대양플라텍	0	충청남도 당진시 합덕읍 농공단지길 24	충청남도	당진시 합덕읍	126.7250056	36.8051673
(주)대영금속	61955	경상북도 경산시 진량읍 공단4로5길 13	경상북도	경산시 진량읍	128.820375	35.8646154
(주)대원	0	충청북도 청주시 흥덕구 직지대로435번길 15	충청북도	청주시 흥덕구	127.439438	36.645315
(주)대원산업	51	대구광역시 달서구 성서로64길 26	대구광역시	달서구	128.51005	35.8450487
(주)대원포리머	57	충청북도 충주시 주덕읍 중원산업로 178	충청북도	충주시 주덕읍	127.7510054	37.0114606
(주)대유글로벌 전주지점 1공장	64	전북 완주군 봉동읍 완주산단4로 133	전라북도	완주군 봉동읍	127.1314093	35.9419823
(주)대유신소재화성지점	231	경기도 화성시 팔탄면 노하길454번길 27	경기도	화성시 팔탄면	126.8763883	37.1615579
(주)대일산업	83	경기도 안산시 단원구 성곡로134번길 15	경기도	안산시 단원구	126.760137	37.3210111
(주)대주씨에스	6347	경상북도 청도군 풍각면 봉기1길 31-19	경상북도	청도군 풍각면	128.6011	35.6355737
(주)대중	0	경상북도 고령군 다산면 다산산단로 28-12	경상북도	고령군 다산면	128.395688	35.789867
(주)대진전지	11	경상북도 구미시 1공단로6길 134	경상북도	구미시	128.376625	36.0902904
(주)대창	44	경기도 시흥시 공단1대로 391	경기도	시흥시	126.742601	37.3283431
(주)대촌	28	충청북도 음성군 삼성면 금일로 1282	충청북도	음성군 삼성면	127.476838	37.043342
(주)대하	2619	충청남도 당진시 순성면 순성로 773	충청남도	당진시 순성면	126.7298875	36.8625071
(주)대한솔루션	30276	인천광역시 남동구 남동대로369번길 67	인천광역시	남동구	126.7024375	37.4173929
(주)대한주물	54	경상북도 고령군 다산면 다산산단로 60	경상북도	고령군 다산면	128.39205	35.789983
(주)대한지엠피	0	인천광역시 남동구 남동대로 284	인천광역시	남동구	126.7017471	37.4093507
(주)대한항공	498	부산광역시 강서구 대저2동	부산광역시	강서구	128.9564622	35.1785772
(주)대호산업	18	경기도 안산시 단원구 별망로 506	경기도	안산시 단원구	126.7808865	37.3013805
(주)대흥라디에터	0	경기도 양주시 광적면 현석로 720 43-7	경기도	양주시 광적면	126.9791017	37.8464323
(주)대흥알앤티	260	경상남도 김해시 진례면 서부로436번길 70-25	경상남도	김해시 진례면	128.7444045	35.2687779
(주)덕성하이텍	15531	경기도 안성시 서운면 제3공단1길 160	경기도	안성시 서운면	127.2648259	36.9717433
(주)도솔	0	경기도 시흥시 공단1대로132번길 32	경기도	시흥시	126.7155908	37.3400829
(주)동광FRP산업	5	경기도 김포시 월곶면 고양로 41	경기도	김포시 월곶면	126.5539449	37.6964112
(주)동광화학	31	부산광역시 사하구 신산북로 21	부산광역시	사하구	128.9664261	35.0916354
(주)동국에스엔씨	1164	경상북도 포항시 남구 대송로 62	경상북도	포항시 남구	129.3638891	35.9866761
(주)동서기공시화지점	16	경기도 시흥시 경기과기대로 252	경기도	시흥시	126.7361014	37.3364836
(주)동서전자	2772	경상북도 구미시 산동면 첨단기업로 102	경상북도	구미시 산동면	128.4487529	36.1421216
(주)동성코퍼레이션	3	전남 여수시 여수산단2로 223-40	전라남도	여수시	127.6503927	34.8156893
(주)동성화학	119	부산광역시 사하구 신산로 99	부산광역시	사하구	128.9657725	35.0908166
(주)동양테크윈	1496	부산광역시 강서구 녹산산단231로 46	부산광역시	강서구	128.8431	35.0927413
(주)동양플랜트부문예산컴플렉스지점	1	충청남도 예산군 고덕면 호음덕령길 60	충청남도	예산군 고덕면	126.727	36.7739083
(주)동양하드웨어	10	인천광역시 남동구 남동서로 277	인천광역시	남동구	126.6962781	37.4142258
(주)동양환경	287	대전광역시 대덕구 문평동로48번길 125	대전광역시	대덕구	127.4054987	36.4520382
(주)동영정밀	0	대전광역시 대덕구 대전로1331번길 40	대전광역시	대덕구	127.4184246	36.3739219
(주)동원	0	경기도 양주시 은현면 화합로 1067-16	경기도	양주시 은현면	127.0373535	37.853826
(주)동원김포	0	경기도 김포시 대곶면 대명항로414번길 89	경기도	김포시 대곶면	126.5765779	37.6521766
(주)동진상사	16090	대구광역시 서구 염색공단천로7길 10	대구광역시	서구	128.5495213	35.890025
(주)동진쎄미켐	421	경기도 시흥시 소망공원로 16	경기도	시흥시	126.7047667	37.344549
(주)동진쎄미켐	1	인천광역시 서구 백범로 644	인천광역시	서구	126.6842935	37.4789556
(주)동진주공	0	인천광역시 서구 경서동 363-157 17BL 16LT 인천광역시 서구 사렴로 32번길 A동	인천광역시	서구	126.6409048	37.552576
