주소	학교급	학교명	경도	위도	시도	행정구				
강원 원주시 반곡동 728-4	유치원	버들초등학교병설유치원	127.986667	37.3203744	강원도	원주시				
강원도 강릉시 하슬라로20번길 15 . 가온유치원 (홍제동)	유치원	가온유치원	128.8793503	37.7560953	강원도	강릉시				
강원도 강릉시 강동면 단경로 20 (강동면)	초등학교	강동초등학교	128.9626372	37.7248627	강원도	강릉시				
강원도 강릉시 강동면 단경로 20 (강동면.강동초등학교)	유치원	강동초등학교병설유치원	128.9626372	37.7248627	강원도	강릉시				
강원도 강릉시 강릉대로587번길 68 . 강릉고등학교 (초당동)	고등학교	강릉고등학교	128.9178063	37.7881716	강원도	강릉시				
강원도 강릉시 율곡로 2920-8 (교동)	고등학교	강릉명륜고등학교	128.8945548	37.7627443	강원도	강릉시				
강원도 강릉시 지변길 158 (지변동)	고등학교	강릉문성고등학교	128.8699226	37.7756114	강원도	강릉시				
강원도 강릉시 용지로 107 . 강릉여자고등학교 (옥천동)	고등학교	강릉여자고등학교	128.9034443	37.7592325	강원도	강릉시				
강원도 강릉시 송정길 43 . 강릉오성학교 (송정동)	특수학교	강릉오성학교	128.9315135	37.7787714	강원도	강릉시				
강원도 강릉시 해안로 333 (강문동)	유치원	강릉유치원	128.9164059	37.7929237	강원도	강릉시				
강원도 강릉시 주문진읍 학교길 26 (주문진읍.강릉정보공업고등학교)	고등학교	강릉정보공업고등학교	128.83045	37.880549	강원도	강릉시				
강원도 강릉시 화부산로8번길 37 (교동)	고등학교	강릉제일고등학교	128.8897775	37.7604248	강원도	강릉시				
강원도 강릉시 강변로 422 . 강릉중앙고등학교 (입암동)	고등학교	강릉중앙고등학교	128.9133516	37.7583526	강원도	강릉시				
강원도 강릉시 강중길44번길 8 . 입암동.강릉중학교 (입암동)	중학교	강릉중학교	128.9089289	37.7536161	강원도	강릉시				
강원도 강릉시 토성로 103 . 강릉초등학교 (홍제동)	초등학교	강릉초등학교	128.8879435	37.7534657	강원도	강릉시				
강원도 강릉시 토성로 103 . 강릉초등학교 (홍제동)	유치원	강릉초등학교병설유치원	128.8879435	37.7534657	강원도	강릉시				
강원도 강릉시 명주로 25 . 강릉해람중학교 (용강동)	중학교	강릉해람중학교	128.8891559	37.7523075	강원도	강릉시				
강원도 강릉시 구정면 칠봉로 670-34 . 강원예술고등학교 (구정면)	고등학교	강원예술고등학교	128.8645343	37.7228726	강원도	강릉시				
강원도 강릉시 화부산로 89 (교동)	고등학교	강일여자고등학교	128.8863308	37.7648808	강원도	강릉시				
강원도 강릉시 강릉대로 547 . 14 (포남동)	고등학교	경포고등학교	128.9186261	37.7807329	강원도	강릉시				
강원도 강릉시 경포로475번길 23-11 (안현동. 경포대초등학교)	초등학교	경포대초등학교	128.9002354	37.8049458	강원도	강릉시				
